TwoTheta Intensity
13.2990 6.208
13.3253 6.240
13.3515 6.938
13.3778 5.979
13.4041 6.896
13.4304 6.604
13.4566 6.344
13.4829 6.781
13.5092 6.531
13.5354 6.115
13.5617 6.625
13.5880 6.542
13.6143 6.490
13.6405 6.500
13.6668 6.646
13.6931 6.708
13.7194 6.823
13.7456 5.979
13.7719 6.833
13.7982 6.906
13.8244 6.813
13.8507 6.969
13.8770 6.979
13.9033 7.417
13.9295 7.240
13.9558 7.833
13.9821 8.500
14.0083 9.635
14.0346 11.406
14.0609 12.677
14.0872 14.844
14.1134 17.031
14.1397 18.302
14.1660 17.802
14.1923 16.750
14.2185 15.083
14.2448 13.240
14.2711 12.010
14.2973 10.417
14.3236 8.927
14.3499 7.917
14.3762 7.781
14.4024 7.917
14.4287 6.792
14.4550 6.781
14.4812 6.281
14.5075 6.240
14.5338 5.990
14.5601 6.125
14.5863 6.177
14.6126 5.844
14.6389 5.927
14.6652 5.719
14.6914 6.063
14.7177 5.542
14.7440 6.073
14.7702 5.521
14.7965 5.813
14.8228 5.635
14.8491 5.813
14.8753 6.125
14.9016 5.833
14.9279 6.052
14.9542 5.875
14.9804 5.396
15.0067 6.000
15.0330 5.771
15.0592 5.667
15.0855 5.604
15.1118 5.292
15.1381 5.792
15.1643 5.833
15.1906 5.313
15.2169 5.438
15.2431 5.323
15.2694 5.958
15.2957 5.583
15.3220 5.781
15.3482 5.438
15.3745 5.750
15.4008 5.750
15.4271 5.979
15.4533 5.875
15.4796 5.208
15.5059 5.365
15.5321 5.427
15.5584 5.833
15.5847 5.542
15.6110 5.875
15.6372 5.594
15.6635 5.448
15.6898 5.594
15.7160 5.500
15.7423 5.490
15.7686 6.281
15.7949 5.802
15.8211 6.073
15.8474 5.375
15.8737 5.292
15.9000 5.281
15.9262 5.510
15.9525 5.385
15.9788 5.760
16.0050 5.969
16.0313 5.698
16.0576 5.677
16.0839 5.323
16.1101 5.490
16.1364 5.375
16.1627 5.771
16.1889 5.542
16.2152 5.854
16.2415 5.417
16.2678 5.510
16.2940 5.604
16.3203 5.260
16.3466 5.708
16.3729 5.448
16.3991 5.406
16.4254 5.813
16.4517 5.313
16.4779 5.906
16.5042 5.667
16.5305 5.333
16.5568 5.344
16.5830 5.313
16.6093 5.521
16.6356 5.531
16.6618 5.844
16.6881 5.396
16.7144 5.438
16.7407 5.354
16.7669 5.583
16.7932 5.271
16.8195 5.385
16.8458 5.677
16.8720 5.281
16.8983 5.167
16.9246 5.073
16.9508 5.656
16.9771 5.406
17.0034 5.302
17.0297 6.073
17.0559 5.469
17.0822 5.823
17.1085 5.052
17.1347 5.406
17.1610 5.375
17.1873 5.906
17.2136 5.292
17.2398 5.458
17.2661 5.323
17.2924 5.573
17.3187 5.438
17.3449 5.604
17.3712 6.417
17.3975 6.031
17.4237 5.448
17.4500 5.625
17.4763 5.740
17.5026 5.688
17.5288 5.583
17.5551 5.708
17.5814 5.479
17.6076 5.458
17.6339 5.094
17.6602 5.844
17.6865 5.448
17.7127 5.719
17.7390 5.406
17.7653 5.052
17.7916 5.031
17.8178 5.500
17.8441 5.385
17.8704 5.063
17.8966 5.365
17.9229 5.677
17.9492 5.385
17.9755 5.115
18.0017 5.177
18.0280 5.188
18.0543 5.240
18.0805 5.135
18.1068 5.500
18.1331 5.781
18.1594 5.479
18.1856 5.271
18.2119 5.646
18.2382 5.896
18.2645 5.417
18.2907 5.490
18.3170 5.417
18.3433 5.531
18.3695 5.917
18.3958 5.156
18.4221 5.583
18.4484 5.313
18.4746 5.844
18.5009 5.406
18.5272 5.479
18.5534 5.552
18.5797 5.354
18.6060 5.875
18.6323 5.542
18.6585 5.344
18.6848 5.708
18.7111 6.250
18.7374 5.625
18.7636 5.781
18.7899 5.729
18.8162 5.875
18.8424 5.604
18.8687 5.698
18.8950 5.823
18.9213 6.073
18.9475 5.615
18.9738 5.323
19.0001 5.427
19.0263 5.771
19.0526 5.365
19.0789 5.542
19.1052 5.521
19.1314 5.771
19.1577 5.635
19.1840 5.573
19.2103 5.052
19.2365 5.656
19.2628 5.583
19.2891 5.417
19.3153 5.521
19.3416 5.375
19.3679 5.302
19.3942 5.365
19.4204 5.229
19.4467 5.375
19.4730 5.302
19.4992 5.365
19.5255 4.990
19.5518 5.448
19.5781 5.646
19.6043 5.396
19.6306 5.719
19.6569 5.542
19.6832 5.760
19.7094 5.594
19.7357 5.760
19.7620 5.635
19.7882 5.552
19.8145 6.073
19.8408 5.719
19.8671 5.948
19.8933 5.333
19.9196 5.594
19.9459 6.010
19.9721 5.406
19.9984 5.063
20.0247 6.010
20.0510 5.990
20.0772 6.063
20.1035 6.323
20.1298 6.396
20.1561 6.594
20.1823 6.906
20.2086 7.177
20.2349 7.323
20.2611 7.750
20.2874 7.844
20.3137 9.000
20.3400 8.625
20.3662 7.844
20.3925 7.344
20.4188 7.302
20.4450 6.760
20.4713 6.938
20.4976 6.688
20.5239 6.240
20.5501 6.302
20.5764 6.313
20.6027 5.792
20.6290 6.094
20.6552 5.729
20.6815 5.896
