TwoTheta	Intensity
11.8803	102.9665601
11.9066	98.4794886
11.9328	99.1973664
11.9591	101.771941
11.9854	97.0098276
12.0117	96.8503371
12.0379	91.0426377
12.0642	93.2442018
12.0905	93.9552755
12.1167	93.783258
12.143	95.626125
12.1693	96.2104858
12.1956	95.1500712
12.2218	97.652182
12.2481	91.1013678
12.2744	87.9706248
12.3007	91.3572989
12.3269	98.0974702
12.3532	92.772532
12.3795	88.7238765
12.4057	92.0130769
12.432	87.807216
12.4583	86.5602684
12.4846	85.956471
12.5108	90.3154652
12.5371	82.6696374
12.5634	89.639859
12.5896	83.4061
12.6159	86.4693786
12.6422	81.9088138
12.6685	82.471935
12.6947	89.9165601
12.721	85.205258
12.7473	87.6376875
12.7736	93.2728272
12.7998	90.9297792
12.8261	87.2431322
12.8524	90.3652244
12.8786	89.3517268
12.9049	89.2631933
12.9312	87.5571552
12.9575	88.2794475
12.9837	89.6654322
13.01	87.9476
13.0363	83.1064125
13.0625	86.5390625
13.0888	78.2579352
13.1151	89.7597444
13.1414	84.8671612
13.1676	85.721076
13.1939	85.2062062
13.2202	89.104148
13.2465	79.0683585
13.2727	81.1625605
13.299	85.060404
13.3253	81.0577999
13.3515	84.9822975
13.3778	85.6981868
13.4041	82.5156396
13.4304	83.2416192
13.4566	83.6865954
13.4829	80.4794301
13.5092	85.5537636
13.5354	89.807379
13.5617	81.6549957
13.588	83.797196
13.6143	88.0709067
13.6405	89.5226015
13.6668	84.7068264
13.6931	89.5802602
13.7194	95.4595852
13.7456	97.5112864
13.7719	93.9656737
13.7982	101.0442186
13.8244	100.8075248
13.8507	104.6004864
13.877	110.155626
13.9033	123.8227898
13.9295	143.9335235
13.9558	173.8613564
13.9821	228.6632634
14.0083	304.540442
14.0346	415.3399524
14.0609	507.3594547
14.0872	595.325072
14.1134	589.375584
14.1397	481.1881307
14.166	373.48659
14.1923	274.5358512
14.2185	199.201185
14.2448	154.4706112
14.2711	121.9037362
14.2973	115.8653192
14.3236	101.0100272
14.3499	97.6080198
14.3762	101.2372004
14.4024	95.8623744
14.4287	92.7332549
14.455	93.35039
14.4812	90.0585828
14.5075	87.9589725
14.5338	97.957812
14.5601	85.5405875
14.5863	76.578075
14.6126	86.7696188
14.6389	82.4902015
14.6652	86.4660192
14.6914	87.6929666
14.7177	83.7142776
14.744	79.39644
14.7702	77.54355
14.7965	75.6840975
14.8228	82.9187432
14.8491	86.0059872
14.8753	81.81415
14.9016	83.672484
14.9279	81.3271992
14.9542	76.1766948
14.9804	82.542004
15.0067	85.6582436
15.033	85.507704
15.0592	81.5756864
15.0855	79.34973
15.1118	86.1070364
15.1381	83.25955
15.1643	78.6723884
15.1906	84.5053078
15.2169	77.8344435
15.2431	84.6296912
15.2694	79.5230352
15.2957	83.0097639
15.322	82.830732
15.3482	85.2132064
15.3745	79.762906
15.4008	79.7299416
15.4271	80.6683059
15.4533	79.1981625
15.4796	81.7477676
15.5059	84.6312022
15.5321	86.5603933
15.5584	83.470816
15.5847	82.1469537
15.611	81.95775
15.6372	80.7974124
15.6635	78.975367
15.6898	89.5573784
15.716	87.585268
15.7423	78.3809117
15.7686	80.814075
15.7949	75.6891608
15.8211	89.8163847
15.8474	84.1972362
15.8737	83.0035773
15.9	85.3035
15.9262	93.407163
15.9525	86.239215
15.9788	82.7222476
16.005	85.53072
16.0313	84.004012
16.0576	82.6324096
16.0839	85.7754387
16.1101	83.4019877
16.1364	84.3772356
16.1627	85.1935917
16.1889	87.3553044
16.2152	91.7131712
16.2415	87.639134
16.2678	88.7896524
16.294	84.011864
16.3203	81.6015
16.3466	80.3762322
16.3729	85.793996
16.3991	83.1926343
16.4254	86.9232168
16.4517	87.0623964
16.4779	83.4276077
16.5042	91.6313184
16.5305	86.4379845
16.5568	84.3403392
16.583	88.619552
16.6093	87.8964156
16.6356	88.9006464
16.6618	84.3586934
16.6881	86.2274127
16.7144	83.9230024
16.7407	90.6843719
16.7669	85.5782576
16.7932	81.3462608
16.8195	89.6983935
16.8458	89.6701934
16.872	92.272968
16.8983	90.4734982
16.9246	86.3831584
16.9508	92.8734332
16.9771	86.2945993
17.0034	93.348666
17.0297	95.6217655
17.0559	85.108941
17.0822	79.3639012
17.1085	90.538182
17.1347	91.5678368
17.161	90.26686
17.1873	90.233325
17.2136	90.543536
17.2398	93.1983588
17.2661	86.503161
17.2924	84.6635904
17.3187	85.8661146
17.3449	84.9206304
17.3712	86.1264096
17.3975	87.5268225
