TwoTheta	Intensity
3.9986	132.7055368
4.0249	128.1246417
4.0512	118.7528256
4.0774	120.4545508
4.1037	116.0157027
4.13	107.98298
4.1563	107.8892354
4.1825	103.4290425
4.2088	100.5734848
4.2351	103.4507877
4.2613	98.7641501
4.2876	100.179774
4.3139	100.0307132
4.3402	97.111975
4.3664	99.837736
4.3927	95.0843842
4.419	92.339424
4.4453	93.2579487
4.4715	94.599054
4.4978	93.891575
4.5241	95.4313654
4.5503	94.2276124
4.5766	97.6326078
4.6029	94.0740702
4.6292	95.3337448
4.6554	98.6851692
4.6817	93.9757641
4.708	93.180736
4.7342	94.5845818
4.7605	92.9297205
4.7868	94.6398228
4.8131	90.3948311
4.8393	92.8564884
4.8656	100.353
4.8919	92.2318826
4.9182	95.7524358
4.9444	93.7903236
4.9707	94.493007
4.997	89.321375
5.0232	93.2456616
5.0495	94.365056
5.0758	92.7906998
5.1021	92.0520882
5.1283	89.3196011
5.1546	96.8652432
5.1809	96.3336546
5.2071	87.4896942
5.2334	92.4009104
5.2597	91.8816993
5.286	92.008116
5.3122	92.6872656
5.3385	93.477135
5.3648	92.6554608
5.3911	89.7402506
5.4173	94.856923
5.4436	91.915186
5.4699	91.9052598
5.4961	93.6645362
5.5224	89.2806408
5.5487	96.0646431
5.575	89.4899
5.6012	89.5015748
5.6275	91.446875
5.6538	96.9965928
5.68	98.45144
5.7063	96.5905401
5.7326	93.928651
5.7589	98.1431738
5.7851	92.0814367
5.8114	95.4638678
5.8377	90.425973
5.864	97.184072
5.8902	97.4356884
5.9165	96.391618
5.9428	93.4148732
5.969	90.281125
5.9953	102.6095595
6.0216	99.9826464
6.0479	98.1513691
6.0741	100.0950939
6.1004	97.9907252
6.1267	103.7066509
6.1529	98.8955617
6.1792	98.7374368
6.2055	106.2071325
6.2318	107.8911534
6.258	98.694918
6.2843	103.5589797
6.3106	101.4302738
6.3369	103.8998124
6.3631	106.0537877
6.3894	108.4217286
6.4157	102.2534266
6.4419	104.0753364
6.4682	105.916775
6.4945	104.587428
6.5208	110.788392
6.547	111.23353
6.5733	112.6334955
6.5996	110.3387124
6.6258	104.4954918
6.6521	110.1055592
6.6784	116.3176928
6.7047	116.3533638
6.7309	110.5011853
6.7572	113.7439476
6.7835	113.270883
6.8098	112.1505962
6.836	114.933668
6.8623	118.7315146
6.8886	113.5172394
6.9148	113.22985
6.9411	116.0482509
6.9674	116.4113192
6.9937	122.38975
7.0199	121.6759267
7.0462	119.855862
7.0725	120.303225
7.0987	121.1961051
7.125	118.153875
7.1513	125.8914852
7.1776	120.7487648
7.2038	124.26555
7.2301	126.52675
7.2564	126.5371032
7.2827	123.5000266
7.3089	124.5582738
7.3352	122.6372088
7.3615	123.614308
7.3877	123.817852
7.414	132.139722
7.4403	125.1681669
7.4666	135.332125
7.4928	131.8283232
7.5191	124.5388533
7.5454	123.0881102
7.5717	128.1661659
7.5979	126.6341993
7.6242	136.358817
7.6505	138.9866335
7.6767	133.0602411
7.703	131.836845
7.7293	130.8338611
7.7556	134.75355
7.7818	135.8546644
7.8081	137.9457027
7.8344	132.2055
7.8606	133.551594
7.8869	134.4085498
7.9132	134.1920456
7.9395	137.369229
7.9657	138.1571008
7.992	136.695168
8.0183	137.0648202
8.0446	136.838646
8.0708	136.3642368
8.0971	145.1567117
8.1234	137.7566172
8.1496	139.9856792
8.1759	139.072059
8.2022	143.1119856
8.2285	139.374333
8.2547	138.6129224
8.281	144.230177
8.3073	140.4432138
8.3335	141.152823
8.3598	146.5556538
8.3861	143.0920243
8.4124	134.7750604
8.4386	146.2662538
8.4649	150.0742121
8.4912	144.0871728
8.5175	144.269415
8.5437	142.5772656
8.57	144.61875
8.5963	140.6784495
8.6225	141.82288
8.6488	136.4867128
8.6751	139.5216333
8.7014	140.1273456
8.7276	140.0081592
8.7539	143.1612806
8.7802	150.448727
8.8064	152.923136
8.8327	144.8209492
8.859	140.636625
8.8853	144.8481606
8.9115	142.584
8.9378	145.149872
8.9641	142.6815797
8.9904	141.5988
9.0166	141.3532382
9.0429	135.1732692
9.0692	143.97355
9.0954	141.1697034
9.1217	144.0498864
9.148	143.797412
9.1743	142.8713739
9.2005	146.637569
9.2268	136.9626192
9.2531	148.2439151
9.2793	143.3466264
9.3056	146.1723648
9.3319	139.5865602
9.3582	146.9986056
9.3844	140.859844
9.4107	141.8474811
9.437	139.19575
9.4633	136.4323961
9.4895	141.754151
9.5158	137.9791
9.5421	138.6562551
9.5683	138.2427984
9.5946	135.0248058
9.6209	139.0989722
9.6472	139.1801544
9.6734	137.4396672
9.6997	141.9551095
9.726	136.572492
9.7522	136.2284818
9.7785	137.915964
9.8048	137.7770496
9.8311	135.6888422
9.8573	137.0756138
9.8836	136.3146112
9.9099	140.3935533
9.9362	133.4133574
9.9624	139.573224
9.9887	127.8753374
10.015	132.5986
10.0412	132.7346228
10.0675	135.6998325
10.0938	130.6945224
10.1201	133.2513567
10.1463	129.466788
10.1726	131.2875756
10.1989	128.7611125
10.2251	125.5744531
10.2514	132.9504066
10.2777	128.1526413
10.304	128.161152
10.3302	126.8651862
10.3565	127.0846115
10.3828	129.785
10.4091	125.013291
10.4353	126.7471538
10.4616	128.1546
10.4879	124.5438125
10.5141	120.1446207
10.5404	122.3108016
10.5667	120.7456809
10.593	127.444383
10.6192	123.1190048
10.6455	118.8782985
10.6718	118.4996672
10.698	120.684138
10.7243	119.8655011
10.7506	117.9233314
10.7769	120.5719572
10.8031	115.5715638
10.8294	113.2538652
10.8557	114.2128197
10.882	119.81082
10.9082	123.6226306
10.9345	113.5547825
10.9608	112.6879848
10.987	120.857
11.0133	114.4942668
11.0396	119.3711948
11.0659	105.3584339
11.0921	106.8723835
11.1184	114.8864272
11.1447	114.4672137
11.1709	107.1736146
11.1972	109.4078412
11.2235	111.763613
11.2498	104.173148
11.276	104.066204
11.3023	106.1964108
11.3286	111.3941238
11.3549	112.2431865
11.3811	114.4028172
11.4074	108.7239294
11.4337	107.1909375
11.4599	114.3583421
11.4862	109.6013204
11.5125	104.5680375
11.5388	107.2185296
11.565	115.76565
11.5913	107.9497769
11.6176	109.2751456
11.6438	113.410612
11.6701	103.6888385
11.6964	104.2967988
11.7227	97.3218554
11.7489	103.2963288
11.7752	103.033
11.8015	98.1058695
11.8278	99.057825
11.854	101.126474
11.8803	97.6441857
11.9066	101.325166
11.9328	100.4383776
11.9591	106.8904358
11.9854	96.8779882
12.0117	104.982258
12.0379	95.9300251
12.0642	91.989525
12.0905	96.3491945
12.1167	104.5065375
12.143	101.952628
12.1693	95.0787409
12.1956	100.9917636
12.2218	97.7744
12.2481	94.0286637
12.2744	97.4341872
12.3007	91.8739283
12.3269	91.0341565
12.3532	88.2759672
12.3795	91.4226075
12.4057	88.7751892
12.432	89.361216
12.4583	95.2561618
12.4846	92.8604548
12.5108	88.6139964
12.5371	94.5548082
12.5634	94.4893314
12.5896	94.296104
12.6159	99.4763715
12.6422	102.9833612
12.6685	89.338262
12.6947	87.9361869
12.721	88.258298
12.7473	93.0807846
12.7736	87.8185
12.7998	95.6017062
12.8261	90.8472663
12.8524	98.3979744
12.8786	87.059336
12.9049	97.3287558
12.9312	86.6131776
12.9575	92.1926125
12.9837	87.9126327
13.01	91.61642
13.0363	91.123737
13.0625	91.4375
13.0888	89.1739944
13.1151	87.7137888
13.1414	92.3971834
13.1676	86.2741152
13.1939	86.3144938
13.2202	85.5214738
13.2465	87.479886
13.2727	79.0787466
13.299	82.560192
13.3253	83.149872
13.3515	92.632707
13.3778	79.9858662
13.4041	92.4346736
13.4304	88.6943616
13.4566	85.3686704
13.4829	91.4275449
13.5092	88.2285852
13.5354	82.768971
13.5617	89.8462625
13.588	88.892696
13.6143	88.356807
13.6405	88.66325
13.6668	90.8295528
13.6931	91.8533148
13.7194	93.6074662
13.7456	82.1849424
13.7719	94.1033927
13.7982	95.2903692
13.8244	94.1856372
13.8507	96.5255283
13.877	96.847583
13.9033	103.1207761
13.9295	100.84958
13.9558	109.3157814
13.9821	118.84785
14.0083	134.9699705
14.0346	160.0786476
14.0609	178.2500293
14.0872	209.1103968
14.1134	240.3653154
14.1397	258.7847894
14.166	252.183132
14.1923	237.721025
14.2185	214.4576355
14.2448	188.601152
14.2711	171.395911
14.2973	148.9349741
14.3236	127.8667772
14.3499	113.6081583
14.3762	111.8612122
14.4024	114.0238008
14.4287	97.9997304
14.455	98.019355
14.4812	90.9564172
14.5075	90.5268
14.5338	87.057462
14.5601	89.1806125
14.5863	90.0995751
14.6126	85.3960344
14.6389	86.7647603
14.6652	83.8702788
14.6914	89.0739582
14.7177	81.5654934
14.744	89.540312
14.7702	81.5462742
14.7965	86.0120545
14.8228	83.526478
14.8491	86.3178183
14.8753	91.1112125
14.9016	86.9210328
14.9279	90.3436508
14.9542	87.855925
14.9804	80.8342384
15.0067	90.0402
15.033	86.755443
15.0592	85.3404864
15.0855	84.539142
15.1118	79.9716456
15.1381	87.6798752
15.1643	88.4533619
15.1906	80.7076578
15.2169	82.7495022
15.2431	81.1390213
15.2694	90.9750852
15.2957	85.3958931
15.322	88.576482
15.3482	83.4635116
15.3745	88.403375
15.4008	88.5546
15.4271	92.2386309
15.4533	90.7881375
15.4796	80.6177568
15.5059	83.1891535
15.5321	84.2927067
15.5584	90.7521472
15.5847	86.3704074
15.611	91.714625
15.6372	87.4744968
15.6635	85.334748
15.6898	87.7687412
15.716	86.438
15.7423	86.425227
15.7686	99.0425766
15.7949	91.6420098
15.8211	96.0815403
15.8474	85.179775
15.8737	84.0036204
15.9	83.9679
15.9262	87.753362
15.9525	85.9042125
15.9788	92.037888
16.005	95.533845
16.0313	91.3463474
16.0576	91.1589952
16.0839	85.6145997
16.1101	88.444449
16.1364	86.73315
16.1627	93.2749417
16.1889	89.7188838
16.2152	94.9237808
16.2415	87.9802055
16.2678	89.635578
16.294	91.311576
16.3203	85.844778
16.3466	93.3063928
16.3729	89.1995592
16.3991	88.6535346
16.4254	95.4808502
16.4517	87.4078821
16.4779	97.3184774
16.5042	93.5293014
16.5305	88.1571565
16.5568	88.4795392
16.583	88.105479
16.6093	91.6999453
16.6356	92.0115036
16.6618	97.3715592
16.6881	90.0489876
16.7144	90.8929072
16.7407	89.6297078
16.7669	93.6096027
16.7932	88.5169572
16.8195	90.5730075
16.8458	95.6336066
16.872	89.101032
16.8983	87.3135161
16.9246	85.8584958
16.9508	95.8737248
16.9771	91.7782026
17.0034	90.1520268
17.0297	103.4213681
17.0559	93.2787171
17.0822	99.4696506
17.1085	86.432142
17.1347	92.6301882
17.161	92.240375
17.1873	101.5081938
17.2136	91.0943712
17.2398	94.0948284
17.2661	91.9074503
17.2924	96.3705452
17.3187	94.1790906
17.3449	97.2008196
17.3712	111.4709904
17.3975	104.9243225
17.4237	94.9243176
17.45	98.15625
17.4763	100.313962
17.5026	99.5547888
17.5288	97.8632904
17.5551	100.2045108
17.5814	96.3284906
17.6076	96.1022808
17.6339	89.8270866
17.6602	103.2062088
17.6865	96.356052
17.7127	101.2989313
17.739	95.897034
17.7653	89.7502956
17.7916	89.5095396
17.8178	97.9979
17.8441	96.0904785
17.8704	90.4778352
17.8966	96.015259
17.9229	101.7483033
17.9492	96.656442
17.9755	91.9446825
18.0017	93.1948009
18.028	93.529264
18.0543	94.604532
18.0805	92.8433675
18.1068	99.5874
18.1331	104.8274511
18.1594	99.4953526
18.1856	95.8562976
18.2119	102.8243874
18.2382	107.5324272
18.2645	98.9387965
18.2907	100.415943
18.317	99.223189
18.3433	101.4567923
18.3695	108.6923315
18.3958	94.8487448
18.4221	102.8505843
18.4484	98.0163492
18.4746	107.9655624
18.5009	100.0158654
18.5272	101.5105288
18.5534	103.0084768
18.5797	99.4757138
18.606	109.31025
18.6323	103.2602066
18.6585	99.711024
18.6848	106.6528384
18.7111	116.944375
18.7374	105.397875
18.7636	108.4723716
18.7899	107.6473371
18.8162	110.545175
18.8424	105.5928096
18.8687	107.5138526
18.895	110.025585
18.9213	114.9090549
18.9475	106.3902125
18.9738	100.9975374
19.0001	103.1135427
19.0263	109.8007773
19.0526	102.217199
19.0789	105.7352638
19.1052	105.4798092
19.1314	110.4073094
19.1577	107.9536395
19.184	106.912432
19.2103	97.0504356
19.2365	108.801644
19.2628	107.5442124
19.2891	104.4890547
19.3153	106.6397713
19.3416	103.9611
19.3679	102.6886058
19.3942	104.049883
19.4204	101.5492716
19.4467	104.5260125
19.473	103.245846
19.4992	104.613208
19.5255	97.432245
19.5518	106.5182064
19.5781	110.5379526
19.6043	105.7848028
19.6306	112.2674014
19.6569	108.9385398
19.6832	113.375232
19.7094	110.2543836
19.7357	113.677632
19.762	111.35887
19.7882	109.8640864
19.8145	120.3334585
19.8408	113.4695352
19.8671	118.1695108
19.8933	106.0909689
19.9196	111.4302424
19.9459	119.874859
19.9721	107.9691726
19.9984	101.2518992
20.0247	120.348447
20.051	120.10549
20.0772	121.7280636
20.1035	127.1144305
20.1298	128.7502008
20.1561	132.9093234
20.1823	139.3789638
20.2086	145.0371222
20.2349	148.1801727
20.2611	157.023525
20.2874	159.1343656
20.3137	182.8233
20.34	175.4325
